,ownsCar,ownsRealty,numChildren,totalIncome,incomeType,eduLvl,famStatus,housingType,occupation,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus,gender
5831,Y,N,0,360000,State servant,Higher education,Married,House / apartment,Not identified,2,28,5,1,1,M
5832,Y,N,0,360000,State servant,Higher education,Married,House / apartment,Not identified,2,28,5,1,0,M
5833,N,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,28,2,1,0,M
5834,Y,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,30,2,1,1,M
5835,Y,Y,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,4,42,3,1,1,M
5836,Y,Y,0,540000,Commercial associate,Higher education,Single / not married,House / apartment,Not identified,1,42,6,1,1,M
5837,Y,Y,0,270000,Commercial associate,Higher education,Married,House / apartment,Managers,2,39,8,1,0,M
5838,Y,Y,2,225000,Working,Secondary / secondary special,Married,House / apartment,Managers,4,39,3,1,0,M
5839,Y,Y,0,270000,Working,Higher education,Married,House / apartment,High skill tech staff,2,47,1,1,0,M
5840,Y,Y,1,168750,Commercial associate,Higher education,Married,House / apartment,Managers,3,49,9,1,0,M
5841,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,HR staff,2,44,0,1,1,M
5842,Y,Y,0,215100,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,53,3,1,1,M
5843,Y,N,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,3,46,6,1,1,M
5844,N,N,0,148500,Working,Secondary / secondary special,Single / not married,Municipal apartment,Laborers,1,39,3,1,1,M
5845,Y,Y,2,472500,Commercial associate,Higher education,Married,House / apartment,Managers,4,49,5,1,0,M
5846,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,55,27,1,1,M
5847,Y,N,1,90000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,3,58,0,0,0,M
5848,Y,Y,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,4,41,1,1,1,M
5849,Y,Y,2,144000,Commercial associate,Higher education,Married,House / apartment,Not identified,4,33,1,1,1,M
5850,N,Y,0,67500,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers,2,55,1,1,1,M
5851,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,54,11,1,1,M
5852,Y,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,36,2,1,1,M
5853,N,Y,3,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,5,38,9,1,0,M
5854,N,Y,1,90000,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,3,40,3,1,0,M
5855,Y,N,0,202500,Working,Secondary / secondary special,Single / not married,With parents,Laborers,1,27,6,1,1,M
5856,Y,Y,1,270000,Working,Higher education,Married,House / apartment,Managers,3,48,11,1,1,M
5857,Y,Y,1,292500,Commercial associate,Higher education,Married,House / apartment,Core staff,3,33,2,1,1,M
5858,Y,Y,0,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers,2,53,1,1,0,M
5859,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,26,3,1,0,M
5860,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,33,5,1,1,M
5861,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,60,18,1,0,M
5862,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,60,18,1,1,M
5863,Y,N,0,315000,Working,Secondary / secondary special,Married,Municipal apartment,Drivers,2,49,2,1,1,M
5864,Y,Y,0,270000,Working,Higher education,Married,House / apartment,Managers,2,61,21,1,0,M
5865,Y,Y,0,270000,Working,Higher education,Married,House / apartment,Managers,2,61,21,1,1,M
5866,Y,N,0,292500,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,52,6,1,1,M
5867,Y,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,28,1,1,1,M
5868,Y,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,28,1,1,0,M
5869,Y,Y,0,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,30,3,1,1,M
5870,N,Y,1,135000,State servant,Higher education,Married,House / apartment,Managers,3,37,8,1,1,M
5871,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,54,5,1,0,M
5872,N,Y,0,94500,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,50,2,1,0,M
5873,N,Y,0,270000,Pensioner,Higher education,Married,House / apartment,Not identified,2,62,0,0,1,M
5874,Y,Y,0,135000,Working,Secondary / secondary special,Married,With parents,Core staff,2,45,8,1,1,M
5875,Y,Y,0,135000,Working,Secondary / secondary special,Married,With parents,Core staff,2,45,8,1,0,M
5876,Y,N,1,180000,Working,Secondary / secondary special,Married,Rented apartment,Core staff,3,37,9,1,0,M
5877,Y,Y,0,265500,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,43,18,1,0,M
5878,Y,Y,1,189000,Working,Incomplete higher,Married,House / apartment,Not identified,3,42,6,1,1,M
5879,Y,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,34,7,1,0,M
5880,Y,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,34,7,1,1,M
5881,Y,Y,1,135000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,2,56,0,0,1,M
5882,Y,Y,0,225000,State servant,Secondary / secondary special,Married,House / apartment,Laborers,2,38,9,1,0,M
5883,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,52,15,1,0,M
5884,Y,Y,2,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,4,45,0,1,1,M
5885,N,N,0,202500,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,2,51,9,1,1,M
5886,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,36,2,1,1,M
5887,Y,N,2,270000,Commercial associate,Higher education,Married,House / apartment,Core staff,4,35,9,1,0,M
5888,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,29,3,1,1,M
5889,Y,N,0,180000,Working,Higher education,Married,With parents,Core staff,2,32,6,1,1,M
5890,N,Y,0,360000,Working,Higher education,Single / not married,House / apartment,High skill tech staff,1,39,6,1,1,M
5891,Y,Y,1,171000,Commercial associate,Incomplete higher,Married,House / apartment,Managers,3,40,16,1,1,M
5892,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,68,0,0,1,M
5893,N,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,35,0,1,0,M
5894,Y,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,3,45,8,1,0,M
5895,N,Y,3,180000,Working,Secondary / secondary special,Married,House / apartment,Drivers,5,35,5,1,1,M
5896,N,Y,3,180000,Working,Secondary / secondary special,Married,House / apartment,Drivers,5,35,5,1,0,M
5897,Y,Y,0,292500,State servant,Higher education,Married,House / apartment,High skill tech staff,2,35,6,1,1,M
5898,Y,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,47,6,1,1,M
5899,Y,N,1,270000,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,3,27,2,1,0,M
5900,Y,Y,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,4,42,8,1,1,M
5901,Y,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,34,2,1,0,M
5902,Y,N,0,135000,Working,Secondary / secondary special,Married,With parents,Laborers,2,33,1,1,1,M
5903,N,N,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,33,9,1,0,M
5904,N,N,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,33,9,1,1,M
5905,N,N,0,166500,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,24,1,1,1,M
5906,Y,N,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,33,3,1,0,M
5907,N,N,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,26,1,1,1,M
5908,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,48,2,1,0,M
5909,N,Y,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,64,0,0,1,M
5910,N,N,0,270000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,36,6,1,1,M
5911,N,Y,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,29,2,1,0,M
5912,Y,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,31,2,1,1,M
5913,Y,Y,0,90000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,34,4,1,1,M
5914,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,44,3,1,0,M
5915,N,N,2,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,27,3,1,0,M
5916,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,26,3,1,1,M
5917,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,26,3,1,0,M
5918,Y,Y,2,180000,Working,Secondary / secondary special,Married,House / apartment,Drivers,4,41,3,1,0,M
5919,Y,Y,2,180000,Working,Secondary / secondary special,Married,House / apartment,Drivers,4,41,3,1,1,M
5920,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,55,0,1,1,M
5921,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,55,0,1,0,M
5922,N,Y,0,135000,Commercial associate,Higher education,Married,House / apartment,Drivers,2,53,9,1,1,M
5923,N,N,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,50,3,1,1,M
5924,Y,Y,0,202500,Commercial associate,Higher education,Married,House / apartment,Drivers,2,29,4,1,1,M
5925,Y,Y,0,202500,Commercial associate,Higher education,Married,House / apartment,Drivers,2,29,4,1,0,M
5926,N,Y,0,54000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,65,0,0,1,M
5927,N,Y,1,225000,Working,Higher education,Married,House / apartment,Sales staff,3,29,2,1,0,M
5928,N,Y,1,225000,Working,Higher education,Married,House / apartment,Sales staff,3,29,2,1,1,M
5929,N,Y,1,337500,Commercial associate,Secondary / secondary special,Separated,House / apartment,Not identified,2,36,12,1,0,M
5930,Y,Y,0,193500,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,27,3,1,1,M
5931,Y,Y,0,193500,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,27,3,1,0,M
5932,Y,Y,1,270000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,3,43,0,0,1,M
5933,Y,Y,1,270000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,3,43,0,0,0,M
5934,Y,Y,0,184500,State servant,Higher education,Married,House / apartment,Managers,2,39,0,1,0,M
5935,Y,Y,0,184500,State servant,Higher education,Married,House / apartment,Managers,2,39,0,1,1,M
5936,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Security staff,2,44,0,1,0,M
5937,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Security staff,2,44,0,1,1,M
5938,Y,Y,2,157500,Commercial associate,Higher education,Married,With parents,Drivers,4,39,1,1,1,M
5939,Y,Y,2,157500,Commercial associate,Higher education,Married,With parents,Drivers,4,39,1,1,0,M
5940,Y,Y,0,157500,Commercial associate,Higher education,Civil marriage,House / apartment,Drivers,2,38,3,1,1,M
5941,Y,Y,0,157500,Commercial associate,Higher education,Civil marriage,House / apartment,Drivers,2,38,3,1,0,M
5942,Y,Y,0,202500,Commercial associate,Higher education,Married,House / apartment,Laborers,2,35,14,1,1,M
5943,Y,Y,0,202500,Commercial associate,Higher education,Married,House / apartment,Laborers,2,35,14,1,0,M
5944,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,2,38,1,1,0,M
5945,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,2,38,1,1,1,M
5946,Y,Y,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,61,0,0,0,M
5947,Y,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,25,1,1,0,M
5948,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,51,3,1,1,M
5949,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,51,3,1,0,M
5950,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,40,4,1,1,M
5951,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,40,4,1,0,M
5952,Y,Y,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,51,1,1,1,M
5953,Y,Y,0,189000,Working,Higher education,Married,House / apartment,Drivers,2,52,0,1,1,M
5954,Y,Y,0,405000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,51,9,1,0,M
5955,Y,Y,0,405000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,51,9,1,1,M
5956,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,3,40,11,1,0,M
5957,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,3,40,11,1,1,M
5958,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Managers,3,52,1,1,1,M
5959,N,Y,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,30,0,1,1,M
5960,N,Y,0,94500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,62,0,0,0,M
5961,N,Y,0,445500,Commercial associate,Higher education,Separated,House / apartment,Not identified,1,53,6,1,0,M
5962,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,41,14,1,1,M
5963,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,28,1,1,0,M
5964,Y,Y,0,121500,Pensioner,Higher education,Married,House / apartment,Not identified,2,67,0,0,0,M
5965,Y,Y,0,135000,Commercial associate,Higher education,Single / not married,With parents,Not identified,1,30,3,1,1,M
5966,Y,Y,0,135000,Commercial associate,Higher education,Single / not married,With parents,Not identified,1,30,3,1,0,M
5967,Y,Y,0,337500,Commercial associate,Higher education,Married,House / apartment,Managers,2,56,7,1,0,M
5968,Y,Y,0,337500,Commercial associate,Higher education,Married,House / apartment,Managers,2,56,7,1,1,M
5969,Y,Y,0,90000,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,36,0,1,0,M
5970,Y,Y,0,90000,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,36,0,1,1,M
5971,N,Y,1,292500,Working,Higher education,Married,Co-op apartment,Managers,3,36,7,1,1,M
5972,Y,Y,0,450000,Commercial associate,Higher education,Separated,House / apartment,Not identified,1,45,2,1,0,M
5973,Y,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,Drivers,2,27,7,1,0,M
5974,Y,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,Drivers,2,27,7,1,1,M
5975,Y,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,53,1,1,1,M
5976,Y,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,34,4,1,1,M
5977,N,Y,0,292500,Commercial associate,Higher education,Single / not married,Rented apartment,Sales staff,1,28,3,1,1,M
5978,N,Y,0,292500,Commercial associate,Higher education,Single / not married,Rented apartment,Sales staff,1,28,3,1,0,M
5979,Y,Y,0,234000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,43,8,1,0,M
5980,Y,Y,0,234000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,43,8,1,1,M
5981,Y,Y,3,180000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,5,39,2,1,0,M
5982,Y,Y,3,180000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,5,39,2,1,1,M
5983,N,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,35,1,1,0,M
5984,N,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,35,1,1,1,M
5985,N,N,2,180000,Working,Secondary / secondary special,Married,House / apartment,Not identified,4,41,1,1,1,M
5986,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,58,3,1,1,M
5987,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,58,3,1,0,M
5988,N,N,0,225000,Working,Incomplete higher,Married,House / apartment,Drivers,2,28,0,1,0,M
5989,N,N,0,225000,Working,Incomplete higher,Married,House / apartment,Drivers,2,28,0,1,1,M
5990,Y,N,0,112500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,61,0,0,0,M
5991,Y,N,0,112500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,61,0,0,1,M
5992,N,N,1,112500,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,44,6,1,1,M
5993,N,N,1,112500,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,44,6,1,0,M
5994,Y,N,0,99000,State servant,Secondary / secondary special,Married,House / apartment,Core staff,2,54,1,1,0,M
5995,N,N,0,112500,Working,Secondary / secondary special,Civil marriage,Rented apartment,Not identified,2,41,6,1,1,M
5996,N,N,0,112500,Working,Secondary / secondary special,Civil marriage,Rented apartment,Not identified,2,41,6,1,0,M
5997,N,N,0,99000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,28,1,1,0,M
5998,N,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,0,M
5999,Y,N,0,157500,Working,Secondary / secondary special,Married,Rented apartment,Core staff,2,34,0,1,0,M
6000,Y,N,0,157500,Working,Secondary / secondary special,Married,Rented apartment,Core staff,2,34,0,1,1,M
6001,N,N,0,121500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,29,1,1,1,M
6002,N,N,1,157500,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,3,32,4,1,1,M
6003,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,29,0,1,0,M
6004,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,29,0,1,1,M
6005,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,32,4,1,0,M
6006,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,32,4,1,1,M
6007,Y,N,0,157500,State servant,Secondary / secondary special,Separated,House / apartment,Laborers,1,53,1,1,1,M
6008,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,54,4,1,1,M
6009,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,54,4,1,0,M
6010,N,Y,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,52,1,1,0,M
6011,Y,N,0,315000,Commercial associate,Secondary / secondary special,Single / not married,With parents,Sales staff,1,33,3,1,1,M
6012,N,Y,0,90000,Working,Secondary / secondary special,Civil marriage,House / apartment,Low-skill Laborers,2,42,4,1,0,M
6013,Y,Y,1,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,3,47,5,1,0,M
6014,Y,Y,1,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,3,47,5,1,1,M
6015,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,36,6,1,1,M
6016,N,Y,0,108000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,67,0,0,1,M
6017,Y,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,42,5,1,0,M
6018,Y,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,42,5,1,1,M
6019,N,Y,0,202500,Working,Incomplete higher,Civil marriage,House / apartment,Core staff,2,24,0,1,0,M
6020,N,Y,0,202500,Working,Incomplete higher,Civil marriage,House / apartment,Core staff,2,24,0,1,1,M
6021,Y,Y,2,202500,Working,Higher education,Married,House / apartment,Laborers,4,31,2,1,1,M
6022,Y,Y,2,202500,Working,Higher education,Married,House / apartment,Laborers,4,31,2,1,0,M
6023,Y,N,2,144000,Working,Secondary / secondary special,Married,With parents,Drivers,4,28,0,1,0,M
6024,Y,Y,1,225000,State servant,Secondary / secondary special,Married,House / apartment,Managers,3,48,4,1,0,M
6025,Y,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,Not identified,4,34,0,1,0,M
6026,N,Y,0,67500,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,62,0,0,0,M
6027,N,N,0,144000,Working,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,46,0,1,0,M
6028,Y,Y,1,247500,Working,Higher education,Married,Municipal apartment,Sales staff,3,43,0,1,0,M
6029,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,37,4,1,0,M
6030,N,Y,2,360000,State servant,Higher education,Married,House / apartment,Managers,4,44,15,1,1,M
6031,Y,Y,2,202500,Working,Higher education,Married,House / apartment,Managers,4,33,2,1,0,M
6032,N,Y,2,675000,State servant,Secondary / secondary special,Married,House / apartment,Drivers,4,39,18,1,1,M
6033,N,Y,2,675000,State servant,Secondary / secondary special,Married,House / apartment,Drivers,4,39,18,1,0,M
6034,N,Y,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,48,0,0,0,M
6035,N,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,Laborers,2,44,22,1,0,M
6036,N,Y,0,99000,Working,Secondary / secondary special,Separated,House / apartment,Not identified,1,50,11,1,1,M
6037,N,Y,0,99000,Working,Secondary / secondary special,Separated,House / apartment,Not identified,1,50,11,1,0,M
6038,N,Y,1,202500,Working,Higher education,Married,House / apartment,Managers,3,46,19,1,0,M
6039,Y,Y,0,176400,Commercial associate,Higher education,Married,Rented apartment,Sales staff,2,27,0,1,1,M
6040,Y,Y,0,360000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,59,5,1,1,M
6041,Y,Y,0,360000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,59,5,1,0,M
6042,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,48,6,1,1,M
6043,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,48,6,1,0,M
6044,N,N,0,166500,Working,Incomplete higher,Single / not married,Municipal apartment,Cooking staff,1,36,0,1,0,M
6045,N,N,0,166500,Working,Incomplete higher,Single / not married,Municipal apartment,Cooking staff,1,36,0,1,1,M
6046,Y,Y,0,261000,Working,Incomplete higher,Married,House / apartment,Managers,2,44,4,1,1,M
6047,Y,Y,0,261000,Working,Incomplete higher,Married,House / apartment,Managers,2,44,4,1,0,M
6048,N,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,58,1,1,0,M
6049,N,Y,0,135000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,54,0,0,1,M
6050,Y,N,0,270000,Working,Higher education,Single / not married,House / apartment,HR staff,1,27,4,1,0,M
6051,Y,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,37,1,1,1,M
6052,Y,N,0,76500,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,29,3,1,0,M
6053,N,N,1,135000,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,3,40,18,1,1,M
6054,Y,Y,0,180000,Pensioner,Higher education,Married,House / apartment,Not identified,2,65,0,0,1,M
6055,N,Y,0,144000,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,24,1,1,0,M
6056,Y,Y,0,112500,Working,Higher education,Married,House / apartment,Core staff,2,48,3,1,0,M
6057,N,Y,0,261000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,65,0,0,0,M
6058,Y,N,2,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,4,40,11,1,1,M
6059,Y,N,2,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,1,40,11,1,1,M
6060,Y,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,62,0,0,1,M
6061,Y,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,62,0,0,0,M
6062,N,Y,2,360000,Working,Secondary / secondary special,Married,House / apartment,Drivers,4,49,3,1,1,M
6063,Y,N,1,180000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,32,12,1,1,M
6064,Y,N,1,180000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,32,12,1,0,M
6065,Y,N,2,225000,State servant,Higher education,Married,With parents,High skill tech staff,4,30,4,1,1,M
6066,Y,N,2,225000,State servant,Higher education,Married,With parents,High skill tech staff,4,30,4,1,0,M
6067,Y,N,1,180000,State servant,Secondary / secondary special,Married,House / apartment,Drivers,3,41,2,1,0,M
6068,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,50,9,1,1,M
6069,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,50,9,1,0,M
6070,N,Y,2,135000,Pensioner,Higher education,Married,House / apartment,Not identified,4,45,0,0,1,M
6071,Y,Y,1,360000,Working,Higher education,Married,House / apartment,Drivers,3,43,3,1,1,M
6072,Y,Y,1,139500,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,40,15,1,1,M
6073,Y,Y,1,139500,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,40,15,1,0,M
6074,N,Y,0,30150,Pensioner,Lower secondary,Married,House / apartment,Not identified,2,66,0,0,0,M
6075,N,Y,0,30150,Pensioner,Lower secondary,Married,House / apartment,Not identified,2,66,0,0,1,M
6076,Y,Y,0,180000,State servant,Higher education,Single / not married,House / apartment,Core staff,1,24,2,1,1,M
6077,N,Y,0,180000,Commercial associate,Higher education,Separated,House / apartment,Core staff,1,29,0,1,1,M
6078,Y,Y,1,225000,Working,Higher education,Married,House / apartment,High skill tech staff,3,35,5,1,1,M
6079,N,N,1,216000,Commercial associate,Higher education,Separated,House / apartment,Laborers,2,30,3,1,1,M
6080,N,N,1,216000,Commercial associate,Higher education,Separated,House / apartment,Laborers,2,30,3,1,0,M
6081,Y,N,0,292500,Working,Higher education,Single / not married,House / apartment,Drivers,1,29,0,1,1,M
6082,Y,N,0,292500,Working,Higher education,Single / not married,House / apartment,Drivers,1,29,0,1,0,M
6083,N,N,0,180000,Commercial associate,Higher education,Single / not married,House / apartment,Not identified,1,23,0,1,0,M
6084,N,N,0,225000,Commercial associate,Incomplete higher,Single / not married,House / apartment,Drivers,1,26,2,1,1,M
6085,Y,N,0,225000,Commercial associate,Higher education,Married,House / apartment,Not identified,2,37,4,1,1,M
6086,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,41,7,1,1,M
6087,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,41,7,1,0,M
6088,Y,N,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,26,3,1,1,M
6089,N,Y,1,180000,Working,Higher education,Married,House / apartment,Managers,3,26,3,1,1,M
6090,N,Y,1,180000,Working,Higher education,Married,House / apartment,Managers,3,26,3,1,0,M
6091,Y,N,0,225000,Commercial associate,Higher education,Civil marriage,House / apartment,Managers,2,37,0,1,1,M
